status_id,status_message,status_author,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1614783798830906_1731227637186521,https://www.apkcheap.com,1614783798830906,Home - APK CHEAP,link,https://www.apkcheap.com/,2017-11-19 08:11:20,0,0,0,0,0,0,0,0,0,0
1614783798830906_1730655963910355,https://apkmirrorapp.com/,1614783798830906,Home APK Mirror APP - Download Android APK and APP,link,https://apkmirrorapp.com/,2017-11-17 15:08:30,0,0,0,0,0,0,0,0,0,0
1614783798830906_1729176794058272,https://www.getintopcfile.com/,1614783798830906,Get Into PC - Download Free Software and Apps,link,https://www.getintopcfile.com/,2017-11-13 07:28:56,0,0,0,0,0,0,0,0,0,0
1614783798830906_1729176804058271,https://www.getintopcfile.com/,1614783798830906,Get Into PC - Download Free Software and Apps,link,https://www.getintopcfile.com/,2017-11-13 07:28:56,0,0,0,0,0,0,0,0,0,0
1614783798830906_1729176740724944,https://www.getintopcfile.com/,1614783798830906,Get Into PC - Download Free Software and Apps,link,https://www.getintopcfile.com/,2017-11-13 07:28:53,0,0,0,0,0,0,0,0,0,0
1614783798830906_1726231674352784,http://www.apkcheap.com/,1614783798830906,APK Cheap - Download Android APK and Games APK Free,link,http://www.apkcheap.com/,2017-11-04 14:45:39,0,0,0,0,0,0,0,0,0,0
1614783798830906_1722890581353560,https://androidfunzs.blogspot.com/,1614783798830906,Android Funz - Full Download Software,link,https://androidfunzs.blogspot.com/,2017-10-25 09:47:10,0,0,0,0,0,0,0,0,0,0
1614783798830906_1722230214752930,http://www.getintopcfile.com/,1614783798830906,Get Into PC - Download Free Software and Apps,link,http://www.getintopcfile.com/,2017-10-23 06:20:26,0,0,0,0,0,0,0,0,0,0
1614783798830906_1721432644832687,http://apkmirrorapp.com/,1614783798830906,APK Mirror APP - Download Android APK and APP,link,http://apkmirrorapp.com/,2017-10-20 16:37:59,0,0,0,0,0,0,0,0,0,0
1614783798830906_1720978234878128,http://www.watchmoviesonlineclub.com/,1614783798830906,Watch Movies Online - Free Download Movies In HD,link,http://www.watchmoviesonlineclub.com/,2017-10-19 07:02:31,0,0,0,0,0,0,0,0,0,0
1614783798830906_1614935525482400,"It appears the dog in the picture was to shame the man is the child of a woman thrown into a pile of garbage to hide your crime dog that no one was watching, then perhaps overlooked and the dogs just men as insensitive not been seen has been dying dog humanity, he raised his munh the newborn relaxation and slap left the hospital doors no man in this world of humans what is left?",1614783798830906,Timeline Photos,photo,https://www.facebook.com/UNILADVSBRIGHTSIDE/photos/a.1614784905497462.1073741828.1614783798830906/1614935525482400/?type=3,2017-01-06 22:55:34,0,0,0,0,0,0,0,0,0,0
1614783798830906_1614932022149417,CHECK OUT SUPER SLOW MOTION,1614783798830906,,video,https://www.facebook.com/UNILADVSBRIGHTSIDE/videos/1614932022149417/,2017-01-06 22:35:20,0,0,0,0,0,0,0,0,0,0
1614783798830906_1614831925492760,The future is here! Virtual Reality Porn is now a proper thing...,1614783798830906,,video,https://www.facebook.com/UNILADVSBRIGHTSIDE/videos/1614831925492760/,2017-01-06 15:02:46,11,1,1,10,0,1,0,0,0,0
1614783798830906_1614803248828961,THIS MAN PLAYING SOUND AWESOME TRICK,1614783798830906,,video,https://www.facebook.com/UNILADVSBRIGHTSIDE/videos/1614803248828961/,2017-01-06 13:13:15,8,0,2,8,0,0,0,0,0,0
1614783798830906_1614801958829090,Commercials vs. reality: A fascinating photo,1614783798830906,Timeline Photos,photo,https://www.facebook.com/UNILADVSBRIGHTSIDE/photos/a.1614784905497462.1073741828.1614783798830906/1614801958829090/?type=3,2017-01-06 13:09:37,0,0,1,0,0,0,0,0,0,0
1614783798830906_1614784872164132,ðŸ˜‚ðŸ˜‚ðŸ˜‚,1614783798830906,Timeline Photos,photo,https://www.facebook.com/UNILADVSBRIGHTSIDE/photos/a.1614784905497462.1073741828.1614783798830906/1614784872164132/?type=3,2017-01-06 12:10:58,0,0,0,0,0,0,0,0,0,0
1614783798830906_1614784662164153,,1614783798830906,Unilad VS Bright SIDE,photo,https://www.facebook.com/UNILADVSBRIGHTSIDE/photos/a.1614784628830823.1073741827.1614783798830906/1614784632164156/?type=3,2017-01-06 12:09:55,0,0,0,0,0,0,0,0,0,0
1614783798830906_1614784458830840,,1614783798830906,Unilad VS Bright SIDE's cover photo,photo,https://www.facebook.com/UNILADVSBRIGHTSIDE/photos/a.1614784435497509.1073741826.1614783798830906/1614784302164189/?type=3,2017-01-06 12:08:50,0,0,0,0,0,0,0,0,0,0
